dataset,abstraction_method,partition_num,abstract_state_num,epsilon,pca_dim,model_type,hmm_n_comp,grid_history_dependency_num,execution_time,aucroc,p_value,accuracy,f1_score,abnormal_threshold,settings
advglue++,Grid,5,,,3,DTMC,,1,13.302666664123535,0.5982218797720148,0.003324060299753059,0.4250055224210294,0.2957251082251082,0.2107298542027927,Grid_5_3_DTMC_0_1
advglue++,Grid,5,,,3,DTMC,,2,12.960943698883057,0.5501246421824505,0.011059634367052873,0.4639938148884471,0.3002162941600577,0.39661731244382115,Grid_5_3_DTMC_0_2
advglue++,Grid,5,,,3,DTMC,,3,11.909416675567627,0.5319547364383694,0.013341906598909782,0.46576098961784845,0.3696077153655675,0.3989124944165861,Grid_5_3_DTMC_0_3
advglue++,Grid,5,,,5,DTMC,,1,13.702483654022217,0.6168458849717371,5.504712472792144e-23,0.4103158824828805,0.2867067468269873,0.2535062786768426,Grid_5_5_DTMC_0_1
advglue++,Grid,5,,,5,DTMC,,2,12.723215103149414,0.5523677569026758,2.474593858582601e-18,0.45140269494146235,0.30189739985945185,0.5121382667755945,Grid_5_5_DTMC_0_2
advglue++,Grid,5,,,5,DTMC,,3,12.405487775802612,0.5542245842667296,4.9046355038668135e-12,0.4553788380826154,0.2871186930750325,0.5246069098262773,Grid_5_5_DTMC_0_3
advglue++,Grid,5,,,10,DTMC,,1,15.10693645477295,0.6490228711365869,8.39659683802306e-93,0.45593108018555334,0.2634569377990431,0.18607332137115726,Grid_5_10_DTMC_0_1
advglue++,Grid,5,,,10,DTMC,,2,14.709945917129517,0.5669904938711714,3.7429693668545607e-115,0.4511817981002872,0.3320338755209033,0.5697442401601068,Grid_5_10_DTMC_0_2
advglue++,Grid,5,,,10,DTMC,,3,13.584118366241455,0.5757051379149916,6.3757713658296096e-86,0.4428981665562182,0.28291157236280917,0.49793677426842536,Grid_5_10_DTMC_0_3
advglue++,Grid,10,,,3,DTMC,,1,13.270712614059448,0.5999798722091456,2.532916166236949e-25,0.4403578528827038,0.2718781434114097,0.1719134284308903,Grid_10_3_DTMC_0_1
advglue++,Grid,10,,,3,DTMC,,2,13.032534837722778,0.5583964297267885,8.665080227125122e-21,0.4537221117738016,0.3270748299319728,0.4840979663502474,Grid_10_3_DTMC_0_2
advglue++,Grid,10,,,3,DTMC,,3,12.0806884765625,0.5578573154823109,6.537331989895116e-23,0.4486414844267727,0.2676056338028169,0.37848482182402715,Grid_10_3_DTMC_0_3
advglue++,Grid,10,,,5,DTMC,,1,13.769878625869751,0.6353067545554429,1.8219432445517815e-117,0.41296664457698257,0.24233784746970774,0.1673387412443835,Grid_10_5_DTMC_0_1
advglue++,Grid,10,,,5,DTMC,,2,12.837634086608887,0.5613115768494067,1.0790219839078676e-92,0.46355202120609673,0.28309963099630997,0.4281639172092429,Grid_10_5_DTMC_0_2
advglue++,Grid,10,,,5,DTMC,,3,12.888452291488647,0.577473567938929,1.504427570299362e-88,0.43759664236801415,0.2917941585535466,0.4938947805560042,Grid_10_5_DTMC_0_3
advglue++,Grid,10,,,10,DTMC,,1,14.60556697845459,0.7136182609833535,0.0,0.3415065164568147,0.22691908713692946,0.11831925450817089,Grid_10_10_DTMC_0_1
advglue++,Grid,10,,,10,DTMC,,2,14.577817678451538,0.592225486151545,1.3164520155389998e-247,0.4279876297768942,0.27657494063416677,0.3771824479994617,Grid_10_10_DTMC_0_2
advglue++,Grid,10,,,10,DTMC,,3,14.238122701644897,0.5989792813257591,1.904292305934985e-189,0.42412193505632867,0.2664603263927969,0.3948996757019285,Grid_10_10_DTMC_0_3
advglue++,Grid,15,,,3,DTMC,,1,13.112922668457031,0.6508545709768467,2.4120845067255284e-74,0.37983211840070685,0.24620754463686403,0.13356469172389124,Grid_15_3_DTMC_0_1
advglue++,Grid,15,,,3,DTMC,,2,12.883701086044312,0.5723960685347413,3.8180416859381407e-84,0.4392533686768279,0.28883597142456924,0.4606581680458897,Grid_15_3_DTMC_0_2
advglue++,Grid,15,,,3,DTMC,,3,12.092821598052979,0.5546809709713315,5.706590741687285e-64,0.44875193284736026,0.2931596091205212,0.4347650783749518,Grid_15_3_DTMC_0_3
advglue++,Grid,15,,,5,DTMC,,1,13.77941370010376,0.7052017002442332,3.749253644770541e-230,0.3354318533244975,0.23864355308110846,0.13217564747256752,Grid_15_5_DTMC_0_1
advglue++,Grid,15,,,5,DTMC,,2,12.73417353630066,0.5911355959143677,4.9694097476924954e-127,0.429644356085708,0.26668560068162456,0.4244107819023798,Grid_15_5_DTMC_0_2
advglue++,Grid,15,,,5,DTMC,,3,12.991380453109741,0.571316068233211,2.371090407421082e-162,0.44565937707090786,0.2995115143056524,0.4262717033390863,Grid_15_5_DTMC_0_3
advglue++,Grid,15,,,10,DTMC,,1,15.275727033615112,0.7735943743726575,0.0,0.3388557543627126,0.17932547299149987,0.03748657357679914,Grid_15_10_DTMC_0_1
advglue++,Grid,15,,,10,DTMC,,2,14.73852825164795,0.6161578096118449,4.978983337205548e-304,0.4161696487740225,0.2898979043524986,0.35965348159575294,Grid_15_10_DTMC_0_2
advglue++,Grid,15,,,10,DTMC,,3,14.368294954299927,0.5966426471163364,4.186429347710266e-270,0.4188204108681246,0.264055944055944,0.30986034264523765,Grid_15_10_DTMC_0_3
advglue++,GMM,,200,,512,DTMC,,,62.87055253982544,0.7005454027868872,0.013901830201298725,0.3848120969535246,0.1762691677832366,0.45513580550800076,GMM_200_512_DTMC_0_0
advglue++,GMM,,200,,1024,DTMC,,,81.04431509971619,0.7182839240971,0.3253316260023613,0.33211029575272405,0.2229983184581555,0.5051646459083157,GMM_200_1024_DTMC_0_0
advglue++,GMM,,200,,2048,DTMC,,,217.37143635749817,0.7340034219430548,0.38587695099605535,0.3506782299310652,0.18092566619915848,0.4227387293979078,GMM_200_2048_DTMC_0_0
advglue++,GMM,,400,,512,DTMC,,,108.36066389083862,0.6667779929054666,5.451388404557424e-08,0.365132310429175,0.26606683804627246,0.48778467908902695,GMM_400_512_DTMC_0_0
advglue++,GMM,,400,,1024,DTMC,,,123.23915886878967,0.6998227509514703,9.339168308040331e-12,0.3305537024683122,0.24934546814611644,0.49002900177752834,GMM_400_1024_DTMC_0_0
advglue++,GMM,,400,,2048,DTMC,,,184.12687706947327,0.7023705958189443,8.260454959952215e-12,0.3541249722036913,0.20391941893929014,0.39630531706698935,GMM_400_2048_DTMC_0_0
advglue++,GMM,,800,,512,DTMC,,,220.62061619758606,0.6743792087342814,2.1026584092839923e-10,0.37158105403602404,0.2492029755579171,0.44420470891059133,GMM_800_512_DTMC_0_0
advglue++,GMM,,800,,1024,DTMC,,,279.1696846485138,0.6770956756286901,2.1134378356991635e-12,0.37825216811207474,0.24186550976138824,0.4026226734348562,GMM_800_1024_DTMC_0_0
advglue++,GMM,,800,,2048,DTMC,,,302.14827585220337,0.6894612147460288,1.296873282533418e-13,0.37369357349344007,0.23599620235996202,0.4064805525392903,GMM_800_2048_DTMC_0_0
advglue++,KMeans,,200,,512,DTMC,,,48.44754099845886,0.6315017358860522,0.6285258049987836,0.3749166110740494,0.2984776640878463,0.5905262596602344,KMeans_200_512_DTMC_0_0
advglue++,KMeans,,200,,1024,DTMC,,,82.81134033203125,0.6118838822485348,0.5084373431932253,0.4313987102512786,0.28194327436113453,0.5075140511897763,KMeans_200_1024_DTMC_0_0
advglue++,KMeans,,200,,2048,DTMC,,,157.00329113006592,0.594316334008235,0.5322711913409819,0.44629753168779185,0.2863284608770421,0.5313372113899074,KMeans_200_2048_DTMC_0_0
advglue++,KMeans,,400,,512,DTMC,,,82.39766025543213,0.5857472721534045,1.3642355405738797e-05,0.46842339337336003,0.2968083541697309,0.529738925103405,KMeans_400_512_DTMC_0_0
advglue++,KMeans,,400,,1024,DTMC,,,141.4326376914978,0.5813253194985774,9.015865624420114e-05,0.4458527907493885,0.2906347850839738,0.49417103894091347,KMeans_400_1024_DTMC_0_0
advglue++,KMeans,,400,,2048,DTMC,,,270.6706864833832,0.6008617356196008,1.276812078505222e-05,0.4389593062041361,0.26592958975851033,0.5049476626122773,KMeans_400_2048_DTMC_0_0
advglue++,KMeans,,800,,512,DTMC,,,138.1911849975586,0.5749403765704721,4.5402513979548376e-11,0.4559706470980654,0.28538045859500505,0.4403321338944297,KMeans_800_512_DTMC_0_0
advglue++,KMeans,,800,,1024,DTMC,,,265.71589064598083,0.5879363870464585,9.509272094566026e-07,0.4313987102512786,0.29520396912899666,0.4617366976991858,KMeans_800_1024_DTMC_0_0
advglue++,KMeans,,800,,2048,DTMC,,,492.6571457386017,0.581022002301018,1.141650493155634e-11,0.4639759839893262,0.30281995661605204,0.4331325973012156,KMeans_800_2048_DTMC_0_0
advglue++,GMM,,200,,512,DTMC,,,198.80188989639282,0.6900573347544954,0.041356559060422717,0.3669112741827885,0.21914426769061987,0.49341471964240713,GMM_200_512_DTMC_0_0
advglue++,GMM,,200,,1024,DTMC,,,325.4947142601013,0.7076991694222305,0.010148058946568148,0.32521681120747165,0.2176099007348202,0.47372493886086264,GMM_200_1024_DTMC_0_0
advglue++,GMM,,200,,2048,DTMC,,,379.5690031051636,0.7247839048642623,0.08590938755067713,0.349344007115855,0.18609179415855356,0.40664286224649043,GMM_200_2048_DTMC_0_0
